objectID, primaryImageSmall
435908, https://images.metmuseum.org/CRDImages/ep/web-large/DP226145.jpg
435909, https://images.metmuseum.org/CRDImages/ep/web-large/DT1579.jpg
435912, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19300-001.jpg
435913, https://images.metmuseum.org/CRDImages/ep/web-large/257525.jpg
435914, https://images.metmuseum.org/CRDImages/ep/web-large/DT2977.jpg
435915, https://images.metmuseum.org/CRDImages/ep/web-large/DT229154.jpg
435916, https://images.metmuseum.org/CRDImages/ep/web-large/DP-16201-001.jpg
435917, https://images.metmuseum.org/CRDImages/ep/web-large/DP-23270-001.jpg
435918, https://images.metmuseum.org/CRDImages/ep/web-large/DP146494.jpg
435919, https://images.metmuseum.org/CRDImages/ep/web-large/175487.jpg
435920, https://images.metmuseum.org/CRDImages/ep/web-large/50899.jpg
435921, https://images.metmuseum.org/CRDImages/ep/web-large/DP162142.jpg
435922, https://images.metmuseum.org/CRDImages/ep/web-large/DP164837.jpg
435923, https://images.metmuseum.org/CRDImages/ep/web-large/DP164805.jpg
435924, https://images.metmuseum.org/CRDImages/ep/web-large/259022.jpg
435925, https://images.metmuseum.org/CRDImages/ep/web-large/89176.jpg
435926, https://images.metmuseum.org/CRDImages/ep/web-large/175503.jpg
435927, https://images.metmuseum.org/CRDImages/ep/web-large/175451.jpg
435928, https://images.metmuseum.org/CRDImages/ep/web-large/175426.jpg
435929, https://images.metmuseum.org/CRDImages/ep/web-large/260243.jpg
435930, https://images.metmuseum.org/CRDImages/ep/web-large/260244.jpg
435931, https://images.metmuseum.org/CRDImages/ep/web-large/175459.jpg
435932, https://images.metmuseum.org/CRDImages/ep/web-large/175520.jpg
435933, https://images.metmuseum.org/CRDImages/ep/web-large/175506.jpg
435936, https://images.metmuseum.org/CRDImages/ep/web-large/147886.jpg
435939, https://images.metmuseum.org/CRDImages/ep/web-large/258499.jpg
435940, https://images.metmuseum.org/CRDImages/ep/web-large/DT8841.jpg
435941, https://images.metmuseum.org/CRDImages/ep/web-large/DP327711.jpg
